"Column Name","Description","Type"
"Trip ID","A unique identifier for the trip.","Plain Text"
"Taxi ID","A unique identifier for the taxi.","Plain Text"
"Trip Start Timestamp","When the trip started, rounded to the nearest 15 minutes.","Date & Time"
"Trip End Timestamp","When the trip ended, rounded to the nearest 15 minutes.","Date & Time"
"Trip Seconds","Time of the trip in seconds.","Number"
"Trip Miles","Distance of the trip in miles.","Number"
"Pickup Census Tract","The Census Tract where the trip began. For privacy, this Census Tract is not shown for some trips. This column often will be blank for locations outside Chicago.","Plain Text"
"Dropoff Census Tract","The Census Tract where the trip ended. For privacy, this Census Tract is not shown for some trips. This column often will be blank for locations outside Chicago.","Plain Text"
"Pickup Community Area","The Community Area where the trip began. This column will be blank for locations outside Chicago.","Number"
"Dropoff Community Area","The Community Area where the trip ended. This column will be blank for locations outside Chicago.","Number"
"Fare","The fare for the trip.","Number"
"Tips","The tip for the trip. Cash tips generally will not be recorded.","Number"
"Tolls","The tolls for the trip.","Number"
"Extras","Extra charges for the trip.","Number"
"Trip Total","Total cost of the trip, the total of the previous columns.","Number"
"Payment Type","Type of payment for the trip.","Plain Text"
"Company","The taxi company.","Plain Text"
"Pickup Centroid Latitude","The latitude of the center of the pickup census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Number"
"Pickup Centroid Longitude","The longitude of the center of the pickup census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Number"
"Pickup Centroid Location","The location of the center of the pickup census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Point"
"Dropoff Centroid Latitude","The latitude of the center of the dropoff census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Number"
"Dropoff Centroid Longitude","The longitude of the center of the dropoff census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Number"
"Dropoff Centroid Location","The location of the center of the dropoff census tract or the community area if the census tract has been hidden for privacy. This column often will be blank for locations outside Chicago.","Point"
